FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
162.303,2022-08-08 18:06:24,151586,-1520434.37,-5083347.31,3530357.68
163.295,2022-08-08 18:06:25,151587,-1520434.4,-5083347.35,3530357.7
164.313,2022-08-08 18:06:26,151588,-1520434.44,-5083347.42,3530357.73
165.298,2022-08-08 18:06:27,151589,-1520434.45,-5083347.51,3530357.75
166.295,2022-08-08 18:06:28,151590,-1520434.44,-5083347.6,3530357.79
167.319,2022-08-08 18:06:29,151591,-1520434.47,-5083347.68,3530357.89
168.29,2022-08-08 18:06:30,151592,-1520434.55,-5083347.72,3530358.01
169.32,2022-08-08 18:06:31,151593,-1520434.61,-5083347.74,3530358.12
170.291,2022-08-08 18:06:32,151594,-1520434.67,-5083347.82,3530358.24
171.333,2022-08-08 18:06:33,151595,-1520434.75,-5083347.92,3530358.39
172.333,2022-08-08 18:06:34,151596,-1520434.82,-5083347.87,3530358.5
173.296,2022-08-08 18:06:35,151597,-1520434.86,-5083347.75,3530358.56
174.321,2022-08-08 18:06:36,151598,-1520434.89,-5083347.61,3530358.61
175.317,2022-08-08 18:06:37,151599,-1520434.93,-5083347.47,3530358.68
176.316,2022-08-08 18:06:38,151600,-1520434.99,-5083347.38,3530358.79
177.312,2022-08-08 18:06:39,151601,-1520435.06,-5083347.28,3530358.87
178.297,2022-08-08 18:06:40,151602,-1520435.15,-5083347.2,3530358.99
179.298,2022-08-08 18:06:41,151603,-1520435.23,-5083347.12,3530359.1
180.315,2022-08-08 18:06:42,151604,-1520435.28,-5083347.12,3530359.15
181.298,2022-08-08 18:06:43,151605,-1520435.29,-5083347.16,3530359.15
182.3,2022-08-08 18:06:44,151606,-1520435.3,-5083347.19,3530359.24
183.312,2022-08-08 18:06:45,151607,-1520435.36,-5083347.21,3530359.35
184.3,2022-08-08 18:06:46,151608,-1520435.41,-5083347.25,3530359.46
185.288,2022-08-08 18:06:47,151609,-1520435.47,-5083347.29,3530359.6
186.319,2022-08-08 18:06:48,151610,-1520435.47,-5083347.33,3530359.67
187.32,2022-08-08 18:06:49,151611,-1520435.49,-5083347.39,3530359.75
188.311,2022-08-08 18:06:50,151612,-1520435.55,-5083347.46,3530359.87
189.289,2022-08-08 18:06:51,151613,-1520435.57,-5083347.51,3530359.95
190.328,2022-08-08 18:06:52,151614,-1520435.55,-5083347.51,3530359.99
191.322,2022-08-08 18:06:53,151615,-1520435.51,-5083347.54,3530359.99
192.314,2022-08-08 18:06:54,151616,-1520435.5,-5083347.56,3530360.03
193.319,2022-08-08 18:06:55,151617,-1520435.5,-5083347.6,3530360.03
194.318,2022-08-08 18:06:56,151618,-1520435.53,-5083347.64,3530360.09
195.332,2022-08-08 18:06:57,151619,-1520435.51,-5083347.7,3530360.14
196.293,2022-08-08 18:06:58,151620,-1520435.49,-5083347.78,3530360.17
197.319,2022-08-08 18:06:59,151621,-1520435.49,-5083347.82,3530360.23
198.291,2022-08-08 18:07:00,151622,-1520435.54,-5083347.89,3530360.33
199.32,2022-08-08 18:07:01,151623,-1520435.64,-5083347.98,3530360.51
200.29,2022-08-08 18:07:02,151624,-1520435.74,-5083348.05,3530360.7
